,Boat,Time,Country,Rank,Date,FinalType,Year,City
60,JW8+,3:23.82,GBR,2,1980-08-17 00:00:00,FB,1980,Hazewinkel
0,JM4+,4:46.47,RDA,1,1981-08-08 00:00:00,FA,1981,Sofia
1,JM4+,4:49.03,URS,2,1981-08-08 00:00:00,FA,1981,Sofia
2,JM4+,4:50.07,RFA,3,1981-08-08 00:00:00,FA,1981,Sofia
3,JM4+,4:51.30,AUS,4,1981-08-08 00:00:00,FA,1981,Sofia
4,JM4+,4:55.07,BUL,5,1981-08-08 00:00:00,FA,1981,Sofia
5,JM4+,4:59.07,ITA,6,1981-08-08 00:00:00,FA,1981,Sofia
6,JM4+,4:55.26,HON,1,1981-08-08 00:00:00,FB,1981,Sofia
7,JM4+,4:58.50,POL,2,1981-08-08 00:00:00,FB,1981,Sofia
8,JM4+,5:02.50,SUI,3,1981-08-08 00:00:00,FB,1981,Sofia
9,JM4+,5:02.60,GRE,4,1981-08-08 00:00:00,FB,1981,Sofia
10,JM4+,5:02.80,YOU,5,1981-08-08 00:00:00,FB,1981,Sofia
11,JM4+,5:03.65,GBR,6,1981-08-08 00:00:00,FB,1981,Sofia
12,JM4-,4:45.22,RDA,1,1981-08-08 00:00:00,FA,1981,Sofia
13,JM4-,4:47.63,RFA,2,1981-08-08 00:00:00,FA,1981,Sofia
14,JM4-,4:47.96,YOU,3,1981-08-08 00:00:00,FA,1981,Sofia
15,JM4-,4:51.18,FRA,4,1981-08-08 00:00:00,FA,1981,Sofia
16,JM4-,4:52.42,TCH,5,1981-08-08 00:00:00,FA,1981,Sofia
17,JM4-,4:54.50,URS,6,1981-08-08 00:00:00,FA,1981,Sofia
18,JM4-,4:52.45,BEL,1,1981-08-08 00:00:00,FB,1981,Sofia
19,JM4-,4:56.14,BUL,2,1981-08-08 00:00:00,FB,1981,Sofia
20,JM4-,4:56.36,POL,3,1981-08-08 00:00:00,FB,1981,Sofia
21,JM4-,4:56.91,GBR,4,1981-08-08 00:00:00,FB,1981,Sofia
22,JM4-,4:57.02,FIN,5,1981-08-08 00:00:00,FB,1981,Sofia
23,JM4-,4:59.91,AUT,6,1981-08-08 00:00:00,FB,1981,Sofia
24,JM4x,4:31.08,RDA,1,1981-08-08 00:00:00,FA,1981,Sofia
25,JM4x,4:33.55,ROU,2,1981-08-08 00:00:00,FA,1981,Sofia
26,JM4x,4:35.05,FRA,3,1981-08-08 00:00:00,FA,1981,Sofia
27,JM4x,4:35.50,HOL,4,1981-08-08 00:00:00,FA,1981,Sofia
28,JM4x,4:37.88,URS,5,1981-08-08 00:00:00,FA,1981,Sofia
29,JM4x,4:39.95,ESP,6,1981-08-08 00:00:00,FA,1981,Sofia
30,JM4x,4:39.10,ITA,1,1981-08-08 00:00:00,FB,1981,Sofia
31,JM4x,4:40.40,GBR,2,1981-08-08 00:00:00,FB,1981,Sofia
32,JM4x,4:41.45,HON,3,1981-08-08 00:00:00,FB,1981,Sofia
33,JM4x,4:42.02,NOR,4,1981-08-08 00:00:00,FB,1981,Sofia
34,JM4x,4:42.40,BUL,5,1981-08-08 00:00:00,FB,1981,Sofia
35,JM4x,4:45.48,GRE,6,1981-08-08 00:00:00,FB,1981,Sofia
36,JM8+,4:22.00,RDA,1,1981-08-08 00:00:00,FA,1981,Sofia
37,JM8+,4:25.45,URS,2,1981-08-08 00:00:00,FA,1981,Sofia
38,JM8+,4:26.04,RFA,3,1981-08-08 00:00:00,FA,1981,Sofia
39,JM8+,4:26.54,FRA,4,1981-08-08 00:00:00,FA,1981,Sofia
40,JM8+,4:29.30,GRE,5,1981-08-08 00:00:00,FA,1981,Sofia
41,JM8+,4:29.50,BUL,6,1981-08-08 00:00:00,FA,1981,Sofia
42,JM8+,4:29.00,ITA,1,1981-08-08 00:00:00,FB,1981,Sofia
43,JM8+,4:30.30,GBR,2,1981-08-08 00:00:00,FB,1981,Sofia
44,JM8+,4:30.42,ESP,3,1981-08-08 00:00:00,FB,1981,Sofia
45,JM8+,4:34.20,USA,4,1981-08-08 00:00:00,FB,1981,Sofia
46,JM8+,4:35.70,HON,5,1981-08-08 00:00:00,FB,1981,Sofia
47,JM8+,4:36.10,NOR,6,1981-08-08 00:00:00,FB,1981,Sofia
48,JW4+,3:33.80,URS,1,1981-08-08 00:00:00,FA,1981,Sofia
49,JW4+,3:34.17,RDA,2,1981-08-08 00:00:00,FA,1981,Sofia
50,JW4+,3:38.02,BUL,3,1981-08-08 00:00:00,FA,1981,Sofia
51,JW4+,3:40.68,RFA,4,1981-08-08 00:00:00,FA,1981,Sofia
52,JW4+,3:41.48,CAN,1,1981-08-08 00:00:00,FB,1981,Sofia
53,JW4+,3:44.78,TCH,2,1981-08-08 00:00:00,FB,1981,Sofia
54,JW4+,3:44.09,ROM,3,1981-08-08 00:00:00,FB,1981,Sofia
55,JW4+,3:49.20,POL,4,1981-08-08 00:00:00,FB,1981,Sofia
56,JW4+,3:59.35,GBR,5,1981-08-08 00:00:00,FB,1981,Sofia
57,JW8+,3:09.41,RDA,1,1981-08-08 00:00:00,FA,1981,Sofia
58,JW8+,3:12.06,URS,2,1981-08-08 00:00:00,FA,1981,Sofia
59,JW8+,3:13.72,TCH,3,1981-08-08 00:00:00,FA,1981,Sofia
60,JW8+,3:14.44,RFA,4,1981-08-08 00:00:00,FA,1981,Sofia
61,JW8+,3:15.38,GBR,5,1981-08-08 00:00:00,FA,1981,Sofia
62,JW8+,3:17.89,BUL,6,1981-08-08 00:00:00,FA,1981,Sofia
63,JW8+,3:22.86,CAN,1,1981-08-08 00:00:00,FB,1981,Sofia
0,M4+,6:36.88,RDA,1,1981-09-06 00:00:00,FA,1981,Munich
1,M4+,6:39.68,USA,2,1981-09-06 00:00:00,FA,1981,Munich
2,M4+,6:40.52,URS,3,1981-09-06 00:00:00,FA,1981,Munich
3,M4+,6:43.15,TCH,4,1981-09-06 00:00:00,FA,1981,Munich
4,M4+,6:43.58,GBR,5,1981-09-06 00:00:00,FA,1981,Munich
5,M4+,6:47.82,AUS,6,1981-09-06 00:00:00,FA,1981,Munich
6,M4+,6:54.91,RFA,1,1981-09-06 00:00:00,FB,1981,Munich
7,M4+,6:47.58,POL,2,1981-09-06 00:00:00,FB,1981,Munich
8,M4+,6:50.00,BUL,3,1981-09-06 00:00:00,FB,1981,Munich
9,M4+,6:51.48,HON,4,1981-09-06 00:00:00,FB,1981,Munich
10,M4+,7:02.15,CHI,5,1981-09-06 00:00:00,FB,1981,Munich
11,M4-,6:35.85,URS,1,1981-09-06 00:00:00,FA,1981,Munich
12,M4-,6:41.47,SUI,2,1981-09-06 00:00:00,FA,1981,Munich
13,M4-,6:43.07,RDA,3,1981-09-06 00:00:00,FA,1981,Munich
14,M4-,6:44.61,TCH,4,1981-09-06 00:00:00,FA,1981,Munich
15,M4-,6:45.67,ROU,5,1981-09-06 00:00:00,FA,1981,Munich
16,M4-,6:56.44,ESP,6,1981-09-06 00:00:00,FA,1981,Munich
17,M4-,6:42.09,RFA,1,1981-09-06 00:00:00,FB,1981,Munich
18,M4-,6:44.28,HOL,2,1981-09-06 00:00:00,FB,1981,Munich
19,M4-,6:48.34,DAN,3,1981-09-06 00:00:00,FB,1981,Munich
20,M4-,6:52.81,GBR,4,1981-09-06 00:00:00,FB,1981,Munich
21,M4-,6:55.40,POL,5,1981-09-06 00:00:00,FB,1981,Munich
22,M4-,6:59.18,FRA,6,1981-09-06 00:00:00,FB,1981,Munich
23,M4x,6:11.37,RDA,1,1981-09-06 00:00:00,FA,1981,Munich
24,M4x,6:14.58,URS,2,1981-09-06 00:00:00,FA,1981,Munich
25,M4x,6:17.45,FRA,3,1981-09-06 00:00:00,FA,1981,Munich
26,M4x,6:25.49,RFA,4,1981-09-06 00:00:00,FA,1981,Munich
27,M4x,6:26.97,TCH,5,1981-09-06 00:00:00,FA,1981,Munich
28,M4x,6:28.26,ITA,6,1981-09-06 00:00:00,FA,1981,Munich
29,M4x,6:24.59,ESP,1,1981-09-06 00:00:00,FB,1981,Munich
