,FinalType,Competitors,NOC,Time,500 m,"1,000 m","1,500 m","500-1,000 m","1,000-1,500 m","1,500-2,000 m",Rank,Boat,Year,City
4,Final B,Belarus,BLR,6:00.57,1:28.57,3:00.65,4:32.28,1:32.08,1:31.63,1:28.29,9,M4-,2016,RiodeJaneiro
6,Final B,Russian Federation,RUS,6:02.09,1:27.48,2:59.12,4:31.99,1:31.64,1:32.87,1:30.10,10,M4-,2016,RiodeJaneiro
8,Final B,France,FRA,6:02.21,1:29.55,3:02.14,4:34.17,1:32.59,1:32.03,1:28.04,11,M4-,2016,RiodeJaneiro
10,Final B,Germany,GER,6:06.24,1:29.35,3:01.76,4:34.86,1:32.41,1:33.10,1:31.38,12,M4-,2016,RiodeJaneiro
0,Final A,Australia,AUS,5:42.76,1:23.53,2:48.95,4:16.59,1:25.42,1:27.64,1:26.17,1,M4-,2021,Japan
2,Final A,Romania,ROU,5:43.13,1:24.38,2:52.21,4:19.23,1:27.83,1:27.02,1:23.90,2,M4-,2021,Japan
4,Final A,Italy,ITA,5:43.60,1:26.06,2:53.30,4:20.47,1:27.24,1:27.17,1:23.13,3,M4-,2021,Japan
6,Final A,Great Britain,GBR,5:45.78,1:24.84,2:51.40,4:18.21,1:26.56,1:26.81,1:27.57,4,M4-,2021,Japan
8,Final A,United States,USA,5:48.85,1:25.21,2:53.84,4:21.43,1:28.63,1:27.59,1:27.42,5,M4-,2021,Japan
10,Final A,Netherlands,NED,5:50.81,1:25.63,2:53.44,4:22.17,1:27.81,1:28.73,1:28.64,6,M4-,2021,Japan
0,Final B,Poland,POL,5:57.17,1:27.36,2:57.36,4:27.53,1:30.00,1:30.17,1:29.64,7,M4-,2021,Japan
2,Final B,Canada,CAN,5:58.29,1:29.06,3:00.14,4:29.05,1:31.08,1:28.91,1:29.24,8,M4-,2021,Japan
4,Final B,Switzerland,SUI,6:02.32,1:29.14,2:59.56,4:30.14,1:30.42,1:30.58,1:32.18,9,M4-,2021,Japan
6,Final B,South Africa,RSA,6:09.85,1:29.12,3:01.07,4:34.44,1:31.95,1:33.37,1:35.41,10,M4-,2021,Japan
